[ 100.000000000000, 0.000000000000 ]
[ 99.984769515639, 1.745240643728 ]
[ 99.902953475457, 3.489949670250 ]
[ 99.862953475457, 5.233595624294 ]
[ 99.756405025982, 6.975647374413 ]
[ 99.619469809175, 8.715574274766 ]
[ 99.452189536827, 10.452846326765 ]
[ 99.254615164132, 12.186934340515 ]
[ 99.026806874157, 13.917310096007 ]
[ 98.768834059514, 15.643446504023 ]
[ 98.480775301221, 17.364817766693 ]
[ 98.162718344766, 19.080899537654 ]
[ 97.814760073381, 20.791169081776 ]
[ 97.437006478524, 22.495105434386 ]
[ 97.029572627600, 24.192189559967 ]
[ 96.592582628907, 25.881904510252 ]
[ 96.126169593832, 27.563735581700 ]
[ 95.630475596304, 29.237170472274 ]
[ 95.105651629515, 30.901699437495 ]
[ 94.551857559932, 32.556815445716 ]
[ 93.969262078591, 34.202014332567 ]
[ 93.358042649720, 35.836794954530 ]
[ 92.718385456679, 37.460659341591 ]
[ 92.050485345244, 39.073112848927 ]
[ 91.354545764260, 40.673664307580 ]
[ 90.630778703665, 42.261826174070 ]
[ 89.879404629917, 43.837114678908 ]
[ 89.100652418837, 45.399049973955 ]
[ 88.294759285893, 46.947156278589 ]
[ 87.461970713940, 48.480962024634 ]
[ 86.602540378444, 50.000000000000 ]
[ 85.716730070211, 51.503807491005 ]
[ 84.804809615643, 52.991926423320 ]
[ 83.867056794542, 54.463903501503 ]
[ 82.903757255504, 55.919290347075 ]
[ 81.915204428899, 57.357643635105 ]
[ 80.901699437495, 58.778525229247 ]
[ 79.863551004729, 60.181502315205 ]
[ 78.801075360672, 61.566147532566 ]
[ 77.714596145697, 62.932039104984 ]
[ 76.604444311898, 64.278760968654 ]
[ 75.470958022277, 65.605902899051 ]
[ 74.314482547739, 66.913060635886 ]
[ 73.135370161917, 68.199836006250 ]
[ 71.933980033865, 69.465837045900 ]
[ 70.710678118655, 70.710678118655 ]
[ 69.465837045900, 71.933980033865 ]
[ 68.199836006250, 73.135370161917 ]
[ 66.913060635886, 74.314482547739 ]
[ 65.605902899051, 75.470958022277 ]
[ 64.278760968654, 76.604444311898 ]
[ 62.932039104984, 77.714596145697 ]
[ 61.566147532566, 78.801075360672 ]
[ 60.181502315205, 79.863551004729 ]
[ 58.778525229247, 80.901699437495 ]
[ 57.357643635105, 81.915204428899 ]
[ 55.919290347075, 82.903757255504 ]
[ 54.463903501503, 83.867056794542 ]
[ 52.991926423320, 84.804809615643 ]
[ 51.503807491005, 85.716730070211 ]
[ 50.000000000000, 86.602540378444 ]
[ 48.480962024634, 87.461970713940 ]
[ 46.947156278589, 88.294759285893 ]
[ 45.399049973955, 89.100652418837 ]
[ 43.837114678908, 89.879404629917 ]
[ 42.261826174070, 90.630778703665 ]
[ 40.673664307580, 91.354545764260 ]
[ 39.073112848927, 92.050485345244 ]
[ 37.460659341591, 92.718385456679 ]
[ 35.836794954530, 93.358042649720 ]
[ 34.202014332567, 93.969262078591 ]
[ 32.556815445716, 94.551857559932 ]
[ 30.901699437495, 95.105651629515 ]
[ 29.237170472274, 95.630475596304 ]
[ 27.563735581700, 96.126169593832 ]
[ 25.881904510252, 96.592582628907 ]
[ 24.192189559967, 97.029572627600 ]
[ 22.495105434387, 97.437006478524 ]
[ 20.791169081776, 97.814760073381 ]
[ 19.080899537654, 98.162718344766 ]
[ 17.364817766693, 98.480775301221 ]
[ 15.643446504023, 98.768834059514 ]
[ 13.917310096007, 99.026806874157 ]
[ 12.186934340515, 99.254615164132 ]
[ 10.452846326765, 99.452189536827 ]
[ 8.715574274766, 99.619469809175 ]
[ 6.975647374413, 99.756405025982 ]
[ 5.233595624294, 99.862953475457 ]
[ 3.489949670250, 99.939082701910 ]
[ 1.745240643728, 99.984769515639 ]
[ 0.000000000000, 100.000000000000 ]
