[ 25, 0 ]
[ 24.7005, 0.59806 ]
[ 24.4021, 1.19248 ]
[ 24.1048, 1.78362 ]
[ 23.8086, 2.37184 ]
[ 23.5137, 2.9575 ]
[ 23.2202, 3.54096 ]
[ 22.9279, 4.12258 ]
[ 22.6371, 4.70272 ]
[ 22.3478, 5.28174 ]
[ 22.06, 5.86 ]
[ 21.7738, 6.43786 ]
[ 21.4893, 7.01568 ]
[ 21.2065, 7.59382 ]
[ 20.9254, 8.17264 ]
[ 20.6462, 8.7525 ]
[ 20.369, 9.33376 ]
[ 20.0936, 9.91678 ]
[ 19.8203, 10.5019 ]
[ 19.5491, 11.0895 ]
[ 19.28, 11.68 ]
[ 19.0131, 12.2737 ]
[ 18.7485, 12.8709 ]
[ 18.4862, 13.472 ]
[ 18.2262, 14.0774 ]
[ 17.9688, 14.6875 ]
[ 17.7138, 15.3026 ]
[ 17.4613, 15.923 ]
[ 17.2115, 16.5491 ]
[ 16.9644, 17.1813 ]
[ 16.72, 17.82 ]
[ 16.4784, 18.4655 ]
[ 16.2397, 19.1181 ]
[ 16.0039, 19.7782 ]
[ 15.771, 20.4462 ]
[ 15.5413, 21.1225 ]
[ 15.3146, 21.8074 ]
[ 15.091, 22.5012 ]
[ 14.8707, 23.2043 ]
[ 14.6537, 23.9171 ]
[ 14.44, 24.64 ]
[ 14.2297, 25.3733 ]
[ 14.0229, 26.1173 ]
[ 13.8196, 26.8724 ]
[ 13.6198, 27.639 ]
[ 13.4237, 28.4175 ]
[ 13.2314, 29.2082 ]
[ 13.0427, 30.0114 ]
[ 12.8579, 30.8275 ]
[ 12.677, 31.6569 ]
[ 12.5, 32.5 ]
[ 12.327, 33.3571 ]
[ 12.1581, 34.2285 ]
[ 11.9933, 35.1146 ]
[ 11.8326, 36.0158 ]
[ 11.6762, 36.9325 ]
[ 11.5242, 37.865 ]
[ 11.3764, 38.8136 ]
[ 11.2331, 39.7787 ]
[ 11.0943, 40.7607 ]
[ 10.96, 41.76 ]
[ 10.8303, 42.7769 ]
[ 10.7053, 43.8117 ]
[ 10.585, 44.8648 ]
[ 10.4694, 45.9366 ]
[ 10.3587, 47.0275 ]
[ 10.253, 48.1378 ]
[ 10.1521, 49.2678 ]
[ 10.0563, 50.4179 ]
[ 9.96559, 51.5885 ]
[ 9.88, 52.78 ]
[ 9.79961, 53.9927 ]
[ 9.72448, 55.2269 ]
[ 9.65467, 56.483 ]
[ 9.59024, 57.7614 ]
[ 9.53125, 59.0625 ]
[ 9.47776, 60.3866 ]
[ 9.42983, 61.734 ]
[ 9.38752, 63.1051 ]
[ 9.35089, 64.5003 ]
[ 9.32, 65.92 ]
[ 9.29491, 67.3645 ]
[ 9.27568, 68.8341 ]
[ 9.26237, 70.3292 ]
[ 9.25504, 71.8502 ]
[ 9.25375, 73.3975 ]
[ 9.25856, 74.9714 ]
[ 9.26953, 76.5722 ]
[ 9.28672, 78.2003 ]
[ 9.31019, 79.8561 ]
[ 9.34, 81.54 ]
[ 9.37621, 83.2523 ]
[ 9.41888, 84.9933 ]
[ 9.46807, 86.7634 ]
[ 9.52384, 88.563 ]
[ 9.58625, 90.3925 ]
[ 9.65536, 92.2522 ]
[ 9.73123, 94.1424 ]
[ 9.81392, 96.0635 ]
[ 9.90349, 98.0159 ]
[ 10, 100 ]
